attempts_per_min,fail_ratio,unique_accounts,device_change,geo_anomaly,honeypot,typing_speed
0,0.09706053794421797,1,1.0,0,0.0,3.9253003315381085
3,0.029236786337813247,1,0.0,0,0.0,4.156922758796265
2,0.20377406882917717,1,0.0,0,0.0,4.373679877799525
1,0.17173768601183184,1,0.0,0,0.0,2.5617655878462795
4,0.009861991948182347,1,0.0,0,0.0,4.995795868517606
1,0.2479599801391404,1,0.0,0,0.0,2.348871389078074
0,0.2298049118609136,1,0.0,0,0.0,3.2273937252835654
67,0.9208676238993555,90,1.0,1,1.0,0.3373903916891158
0,0.2402887231935686,1,0.0,0,0.0,3.1166341207052124
1,0.2703334970278235,1,1.0,0,0.0,3.1742511775973883
0,0.19135447542167425,1,0.0,0,0.0,3.229525497303927
1,0.20814104694443106,1,1.0,0,0.0,4.859684539948015
2,0.11153585753103441,1,0.0,0,0.0,3.2619602507390426
4,0.1840481994223251,1,0.0,0,0.0,4.101502431785287
4,0.1691086827022136,1,0.0,0,0.0,4.021343935083356
2,0.1096441104408887,1,0.0,0,0.0,4.630042130369496
2,0.09104612204545755,1,0.0,0,0.0,3.674794695076251
1,0.22563499187112349,1,0.0,0,0.0,4.481912305550715
5,0.09449355895532147,1,0.0,0,0.0,4.431634432532034
5,0.0028415601025827074,1,0.0,0,0.0,3.78276392458892
4,0.18635433106449859,1,1.0,0,0.0,4.850415593185971
1,0.22994036632320888,1,0.0,0,0.0,3.3914131627340764
1,0.042930417665230036,1,0.0,0,0.0,4.691921295661796
2,0.08833857713677724,1,0.0,0,0.0,2.3307176400873155
2,0.09428717636153067,1,0.0,0,0.0,4.705127439200491
1,0.06497270694523496,1,0.0,0,0.0,4.994888310121899
1,0.22662896623994944,1,0.0,0,0.0,2.1036241666132973
3,0.18085595271371815,1,0.0,0,0.0,3.5999541378445783
3,0.061476212833454724,1,0.0,0,0.0,2.0123078454476584
0,0.184842003188233,1,0.0,0,0.0,3.548229781102722
0,0.264682917074629,1,0.0,0,0.0,4.420805428241202
64,0.9439916978365562,66,1.0,0,0.0,0.4991720456625437
3,0.15120272957035066,1,0.0,0,0.0,3.832774537540609
1,0.17922557886720947,1,0.0,0,0.0,3.4356422522153123
3,0.10587279032997937,1,0.0,0,0.0,3.377451731438536
1,0.0953842347508956,1,0.0,0,0.0,3.604730004004028
3,0.21080363801218252,1,0.0,0,0.0,3.1527069725863144
0,0.16604440421717556,1,0.0,0,0.0,3.184206237285097
3,0.12219026868944685,1,0.0,0,0.0,4.974428425483189
